airline_id	channel	service_status	fare_nature	amount	currency	geography_route	billing_subject_and_journey_basis	reservation_lead	official_url	locator	page_date	verified_date	legacy_fee	legacy_farelist	repo_linkage	evidence_excerpt	notes
asiana	hold	OFFERED	EXACT_GRID	30000/60000 domestic; 140000/290000 NE Asia; 210000/440000 other Asia; 290000/590000 US/Europe/Oceania	KRW	≤32kg / 33–45kg by route	per cage / one-way	24h domestic; 48h international business days	https://flyasiana.com/C/US/EN/contents/traveling-with-pets	Fees	ND	2026-09-10	KRW 30k–290k	legacy omits >32kg double bands	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — the official two-column weight matrix spans four route rows; no short contiguous excerpt proves all eight values	Legacy incomplete for heavy pets.
asiana	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no consumer cargo tariff located	ND	ND	https://flyasiana.com/C/US/EN/contents/traveling-with-pets	Scope of passenger page	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Traveling with pets”	Do not infer service or amount.
austrian	cabin	OFFERED	EXACT_GRID	65 domestic; 80 Europe; 105 short intercontinental; 115 medium; 125 long	EUR	listed route bands	per flight segment / carrier	book early; capacity check	https://www.austrian.com/al/en/plan/special-requirements/travelling-with-animals	Small pets in cabin > price table	ND	2026-09-10	€65–125	legacy Europe €75	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official route matrix spans five rows; the former excerpt proved only the Europe cell	Legacy Europe amount stale.
austrian	hold	OFFERED	EXACT_GRID	80/160 domestic; 100/200 Europe; 130/260 short; 170/340 medium; 190/380 long	EUR	listed route bands; small/large container	per flight segment / container	book early; provide size/weight	https://www.austrian.com/al/en/plan/special-requirements/travelling-with-animals	Large animals in hold > price table	ND	2026-09-10	€80–380	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official two-size route matrix spans five rows; the former excerpt proved only the long-haul row	EUR150 transfer surcharge via listed hubs.
austrian	cargo	CONDITIONAL	QUOTE	pet transport provider / Lufthansa Cargo	ND	countries requiring freight; unaccompanied	shipment	advance arrangement	https://www.austrian.com/pt/en/plan/special-requirements/travelling-with-animals	Freight note	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“contact a specialised pet transport provider”	No public amount.
avianca	cabin	OFFERED	FROM_GRID	COP80000; USD45 Ecuador/Guatemala; CAD235 Canada; USD170–220 regional; EUR/GBP220 from Europe	COP/USD/CAD/EUR/GBP	listed origin/destination groups	from-price; taxes included	at least 48h advised/required by official policy notice	https://ayuda.avianca.com/hc/en-us/articles/13770433013659-How-much-does-it-cost-to-fly-with-my-pet	Pets in cabin	ND	2026-09-10	$45–235	legacy range	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official multi-currency table spans eight route rows; the former excerpt proved only Colombia	High season may add up to USD20.
avianca	hold	OFFERED_CONDITIONAL	FROM_GRID	COP225000; USD70 Ecuador/Guatemala; CAD345 Canada; USD250–290 regional; EUR/GBP290 from Europe	COP/USD/CAD/EUR/GBP	listed groups; seasonal route embargoes	from-price; taxes included	at least 48h	https://ayuda.avianca.com/hc/en-us/articles/13770433013659-How-much-does-it-cost-to-fly-with-my-pet	Pets in the hold	ND	2026-09-10	$70–345	legacy range	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official multi-currency table spans eight route rows; the former excerpt proved only Colombia	Seasonal restrictions must be checked separately.
avianca	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact Avianca Cargo	ND	UK and other cargo-only cases	shipment	advance arrangement	https://ayuda.avianca.com/hc/en-us/articles/13770433013659-How-much-does-it-cost-to-fly-with-my-pet	Europe footnote	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“contact avianca cargo”	No public cargo amount.
bangkok_airways	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.bangkokair.com/traveling-with-pet	Service mode	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“checked baggage (AVIH)”	Page only provides hold/cargo.
bangkok_airways	hold	OFFERED	EXACT_OR_GRID	180 domestic; 8–48 international by zone	THB/kg; USD/kg	domestic per sector; international zone table	per kg including pet+container per sector	at least 24h before departure	https://www.bangkokair.com/traveling-with-pet	Charges	ND	2026-09-10	180 THB/kg	legacy omits intl grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — current official text proves THB 180/kg/sector but exposes no textual USD 8–48 zonal table	International range from official baggage zone table.
bangkok_airways	cargo	OFFERED	QUOTE_OR_NOT_FOUND	contact Bangkok Airways Cargo	ND	cargo routes / passenger-service exclusions	shipment	advance contact	https://www.bangkokair.com/traveling-with-pet	Cargo note	ND	2026-09-10	Not published	cargo not published	NO: legacy fee/fareList dormant; Finder reads policies status only	“contact Bangkok Airways Cargo”	No public live-animal cargo amount isolated from general cargo table.
batik_air_indonesia	cabin	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet policy located	ND	ND	https://www.batikair.com/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	Official searches returned no pet/animal carriage page; do not inherit YAML denial as proved.
batik_air_indonesia	hold	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet policy located	ND	ND	https://www.batikair.com/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	No official evidence found.
batik_air_indonesia	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet cargo offer located	ND	ND	https://www.batikair.com/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	No official evidence found.
batik_air_malaysia	cabin	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet policy located	ND	ND	https://www.batikair.com.my/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	Official searches and agent portal yielded no carriage rule.
batik_air_malaysia	hold	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet policy located	ND	ND	https://www.batikair.com.my/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	No official evidence found.
batik_air_malaysia	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no accessible current official pet cargo offer located	ND	ND	https://www.batikair.com.my/	Official site search / conditions	ND	2026-09-10	Not applicable	not accepted	NO: legacy fee/fareList dormant; Finder reads policies status only	—	No official evidence found.
british_airways	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.britishairways.com/content/en/us/information/legal/us-optional-extras	Pets	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; policy proof exists for cabin status, not fare	“must be booked as cargo”	Assistance dogs separate.
british_airways	hold	NOT_OFFERED_AS_CHECKED_PET	NOT_APPLICABLE	—	—	pet travels as manifest cargo in hold	—	—	https://www.britishairways.com/content/en/us/information/legal/us-optional-extras	Pets	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“booked as cargo and travel in the hold”	Physical hold does not mean checked-baggage service.
british_airways	cargo	OFFERED	QUOTE	quoted on reconfirmation; varies size/weight/distance	varies	accepted IAG Cargo routes	shipment	book/reconfirm via cargo agent	https://www.britishairways.com/content/en/us/information/legal/us-optional-extras	Pets	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“charges will be quoted when you reconfirm”	No fixed public amount.
brussels	cabin	OFFERED	EXACT_GRID	80 Europe; 90 Egypt/Israel/Morocco; 105 West Africa; 115 Central Africa/East N. America; 65 intra-Africa	EUR	listed bands	one-way on operated flight	book in advance via Service Centre	https://www.brusselsairlines.com/ua/en/special-care/pets/cats-and-small-dogs-in-the-cabin	How much does it cost	ND	2026-09-10	€65–115	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official four-currency matrix spans six regions; the former excerpt proved only the Europe EUR cell	Other departure currencies listed; legacy Europe value stale.
brussels	hold	OFFERED	EXACT_GRID	160–380 by region (EUR); transfer surcharge 150	EUR	Europe/Africa/North America route bands	one-way on operated flight	book in advance; check in 2h before latest check-in	https://www.brusselsairlines.com/gb/en/special-care/pets/cats-and-dogs-in-the-hold.html	Rates table	ND	2026-09-10	€100–380	legacy grid lower on several bands	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official two-size, four-currency matrix spans six regions; no short contiguous excerpt proves EUR 160–380 plus surcharge	Current Europe EUR200; highest listed west-coast EUR380.
brussels	cargo	CONDITIONAL	QUOTE	contact cargo provider	ND	UK/unaccompanied/other cargo-only cases	shipment	advance arrangement	https://www.brusselsairlines.com/gb/en/special-care/pets/cats-and-dogs-in-the-hold.html	Cargo note	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“option … transported as cargo”	No public amount.
cathay_pacific	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.cathaypacific.com/cx/en_JP/prepare-trip/help-for-passengers/travelling-with-animals/overview-cargo.html	Overview	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“Cathay Live Animal … Cathay Cargo”	Assistance dogs separate.
cathay_pacific	hold	NOT_OFFERED_AS_CHECKED_PET	NOT_APPLICABLE	—	—	current public option is Cathay Cargo	—	—	https://www.cathaypacific.com/cx/en_JP/prepare-trip/help-for-passengers/travelling-with-animals/overview-cargo.html	Overview	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“pet shipments”	Historical baggage tariff not treated as current.
cathay_pacific	cargo	OFFERED	QUOTE	through eligible pet agent / accredited forwarder	ND	Cathay Cargo network	shipment	advance agent booking	https://www.cathaypacific.com/cx/en_JP/prepare-trip/help-for-passengers/travelling-with-animals/overview-cargo.html	Direct booking rules	2025-09-01 effective	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“direct booking … only … accepted”	No public amount found.
china_airlines	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.china-airlines.com/kr/en/prepare-for-the-fly/information/baggage/pet-transport.html	Pet transport mode	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“transporting pets as checked baggage”	Service dogs separate.
china_airlines	hold	OFFERED	DYNAMIC_GRID_NOT_CAPTURED	fixed rate ≤32kg; double fixed rate >32kg; exact route result requires interactive zone search	local currency	departure/arrival zone	pet+container weight / fixed band	contact at least 48h before departure	https://www.china-airlines.com/kr/en/prepare-for-the-fly/information/baggage/pet-transport.html	Charge for Pet Transportation	ND	2026-09-10	fixed rate by weight	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	“Weight > 32kg: Double fixed rate”	No numeric amount inferred from interactive widget.
china_airlines	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo	ND	over limits / route-required	shipment	advance arrangement	https://www.china-airlines.com/kr/en/prepare-for-the-fly/information/baggage/pet-transport.html	Over-limit/cargo cases	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“cargo”	No public cargo amount found.
china_eastern	cabin	LIMITED_DOMESTIC	NOT_FOUND	available under specific conditions through app; fare not found	CNY	selected domestic flights only	pet service	request at reservation; prior approval	https://global.ceair.com/global/static/Announcement/BaggageService/GeneralProvisions/index.html	Small animals > pet in cabin	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“国内航班上 … 可申请带入客舱”	Repo denial is stale/incomplete: current official terms allow application on qualifying domestic flights.
china_eastern	hold	OFFERED	FORMULA	domestic: 1.5% of one-way adult direct economy full fare per excess kg; international per route table	CNY / route currency	domestic and eligible non-stop international/regional	per kg pet+container+food	request at booking; prior approval	https://global.ceair.com/global/en_static/Announcement/TravelTips/SpecialPassengerServiceNotice/LittleAnimal/	Fees / request	ND	2026-09-10	excess baggage by weight	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — identified page does not expose the 1.5% formula as faithful text; locator alone proves only weight-based charging	Exact itinerary amount depends fare/route; no amount inferred.
china_eastern	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no current official consumer cargo-pet tariff located	ND	ND	https://global.ceair.com/global/en_static/Announcement/TravelTips/SpecialPassengerServiceNotice/LittleAnimal/	Scope of page	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Small Animals”	Do not infer service or amount.
